"node"	"ord_ndname"	"node_lvl"	"node.type"	"parent_br"	"edge.length"	"ancestor"	"node_ht"	"time_bp"	"fossils"	"label"	"tipnames"	"_"	"K"	"O"	"M"	"H"	"KO"	"KM"	"KH"	"OM"	"OH"	"MH"	"KOM"	"KOH"	"KMH"	"OMH"	"KOMH"
1	1	8	"tip"	8	0.9656850499	27	5.1991102134	0.0008898	FALSE	"P_hawaiiensis_WaikamoiL1"	"P_hawaiiensis_WaikamoiL1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	2	8	"tip"	9	0.9656850499	27	5.1991102134	0.0008898	FALSE	"P_mauiensis_Eke"	"P_mauiensis_Eke"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	3	8	"tip"	11	1.230218511	28	5.1991102134	0.0008898	FALSE	"P_fauriei2"	"P_fauriei2"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	8	"tip"	12	1.230218511	28	5.1991102134	0.0008898	FALSE	"P_hathewayi_1"	"P_hathewayi_1"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5	7	"tip"	14	1.851022399	29	5.2000000000802	0	FALSE	"P_kaduana_PuuKukuiAS"	"P_kaduana_PuuKukuiAS"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	6	7	"tip"	15	1.851022399	29	5.2000000000802	0	FALSE	"P_mauiensis_PepeAS"	"P_mauiensis_PepeAS"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
7	7	5	"tip"	16	2.185759997	24	5.1991102132	0.0008898	FALSE	"P_kaduana_HawaiiLoa"	"P_kaduana_HawaiiLoa"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8	5	"tip"	18	1.131363255	30	5.1991102132	0.0008898	FALSE	"P_greenwelliae07"	"P_greenwelliae07"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	5	"tip"	19	1.131363255	30	5.1991102132	0.0008898	FALSE	"P_greenwelliae907"	"P_greenwelliae907"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	7	"tip"	24	1.994011054	34	5.199110214	0.0008898	FALSE	"P_mariniana_MauiNui"	"P_mariniana_MauiNui"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
11	11	7	"tip"	25	1.994011054	34	5.199110214	0.0008898	FALSE	"P_hawaiiensis_Makaopuhi"	"P_hawaiiensis_Makaopuhi"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12	12	6	"tip"	26	2.726839034	33	5.1991102136	0.0008898	FALSE	"P_mariniana_Oahu"	"P_mariniana_Oahu"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
13	13	5	"tip"	27	2.984254205	32	5.1991102137	0.0008898	FALSE	"P_mariniana_Kokee2"	"P_mariniana_Kokee2"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	14	4	"tip"	28	3.444362691	31	5.1991102142	0.0008898	FALSE	"P_wawraeDL7428"	"P_wawraeDL7428"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	15	3	"tip"	30	2.479300491	35	5.1991102139	0.0008898	FALSE	"P_grandiflora_Kal2"	"P_grandiflora_Kal2"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	3	"tip"	31	2.479300491	35	5.1991102139	0.0008898	FALSE	"P_hobdyi_Kuia"	"P_hobdyi_Kuia"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	17	3	"tip"	34	2.363984189	37	5.1991102132	0.0008898	FALSE	"P_hexandra_K1"	"P_hexandra_K1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	18	3	"tip"	35	2.363984189	37	5.1991102132	0.0008898	FALSE	"P_hexandra_M"	"P_hexandra_M"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	2	"tip"	36	2.826939991	36	5.199021235	0.0009788	FALSE	"P_hexandra_Oahu"	"P_hexandra_Oahu"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20	20	0	"root"	NA	NA	NA	0	5.2	NA	"inNode20"	"P_fauriei2,P_grandiflora_Kal2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_hexandra_K1,P_hexandra_M,P_hexandra_Oahu,P_hobdyi_Kuia,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	0	0.278614019896131	0.00194104708888134	2.06435590070229e-05	6.84762057181377e-06	0.516558208399326	0.0306193726322759	0.0172307054430516	0.000971750975073947	0.000424552606959213	1.23321842750886e-05	0.0730058322077665	0.0464532776158529	0.00606691605200462	0.000544811830490024	0.0275296818883326
21	21	1	"internal"	1	0.2873119899	20	0.2873119899	4.912688	NA	"inNode21"	"P_fauriei2,P_grandiflora_Kal2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_hobdyi_Kuia,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	0	0.800985157906179	0.000766004882507994	0.000176432469041811	4.02154945976364e-05	0.072646936443322	0.0318196119970428	0.0104103791757329	0.000113208079392228	5.20921457984346e-05	1.88785871935433e-05	0.0371444522495296	0.0144824230326291	0.0074292004738091	7.64223416675236e-05	0.0238385847215562
