"node"	"ord_ndname"	"node_lvl"	"node.type"	"parent_br"	"edge.length"	"ancestor"	"node_ht"	"time_bp"	"fossils"	"label"	"tipnames"	"K"	"O"	"M"	"H"
1	1	8	"tip"	8	0.9656850499	27	5.1991102134	0.0008898	FALSE	"P_hawaiiensis_WaikamoiL1"	"P_hawaiiensis_WaikamoiL1"	9.72494125069711e-17	3.61829670399252e-16	1	2.86246583754978e-17
2	2	8	"tip"	9	0.9656850499	27	5.1991102134	0.0008898	FALSE	"P_mauiensis_Eke"	"P_mauiensis_Eke"	9.72494125069711e-17	3.61829670399252e-16	1	2.86246583754978e-17
3	3	8	"tip"	11	1.230218511	28	5.1991102134	0.0008898	FALSE	"P_fauriei2"	"P_fauriei2"	1.25163715739813e-16	1	4.60946929404493e-16	3.26731368049977e-17
4	4	8	"tip"	12	1.230218511	28	5.1991102134	0.0008898	FALSE	"P_hathewayi_1"	"P_hathewayi_1"	1.25163715739813e-16	1	4.60946929404493e-16	3.26731368049977e-17
5	5	7	"tip"	14	1.851022399	29	5.2000000000802	0	FALSE	"P_kaduana_PuuKukuiAS"	"P_kaduana_PuuKukuiAS"	5.24160141170913e-16	6.22900797857182e-16	1	1.23351444869018e-16
6	6	7	"tip"	15	1.851022399	29	5.2000000000802	0	FALSE	"P_mauiensis_PepeAS"	"P_mauiensis_PepeAS"	5.24160141170913e-16	6.22900797857182e-16	1	1.23351444869018e-16
7	7	5	"tip"	16	2.185759997	24	5.1991102132	0.0008898	FALSE	"P_kaduana_HawaiiLoa"	"P_kaduana_HawaiiLoa"	1.48887281599135e-14	1	6.50569840932865e-15	2.29698985885747e-15
8	8	5	"tip"	18	1.131363255	30	5.1991102132	0.0008898	FALSE	"P_greenwelliae07"	"P_greenwelliae07"	1	7.16252756134001e-15	3.91923237680473e-15	1.73129730575183e-15
9	9	5	"tip"	19	1.131363255	30	5.1991102132	0.0008898	FALSE	"P_greenwelliae907"	"P_greenwelliae907"	1	7.16252756134001e-15	3.91923237680473e-15	1.73129730575183e-15
10	10	7	"tip"	24	1.994011054	34	5.199110214	0.0008898	FALSE	"P_mariniana_MauiNui"	"P_mariniana_MauiNui"	5.44146419954641e-16	3.66849512518013e-16	1	4.37815023721718e-16
11	11	7	"tip"	25	1.994011054	34	5.199110214	0.0008898	FALSE	"P_hawaiiensis_Makaopuhi"	"P_hawaiiensis_Makaopuhi"	4.85243411931886e-16	3.48053085819401e-16	4.37815023757797e-16	1
12	12	6	"tip"	26	2.726839034	33	5.1991102136	0.0008898	FALSE	"P_mariniana_Oahu"	"P_mariniana_Oahu"	5.55790260249814e-15	1	1.51674259777489e-15	1.40801849881879e-15
13	13	5	"tip"	27	2.984254205	32	5.1991102137	0.0008898	FALSE	"P_mariniana_Kokee2"	"P_mariniana_Kokee2"	1	2.22488893449396e-14	1.06964224867857e-14	9.12478388356603e-15
14	14	4	"tip"	28	3.444362691	31	5.1991102142	0.0008898	FALSE	"P_wawraeDL7428"	"P_wawraeDL7428"	1	3.17399314509215e-14	2.05300707449631e-14	1.73857634658376e-14
15	15	3	"tip"	30	2.479300491	35	5.1991102139	0.0008898	FALSE	"P_grandiflora_Kal2"	"P_grandiflora_Kal2"	1	4.42724618754738e-14	3.55628863971787e-14	3.47264516512853e-14
16	16	3	"tip"	31	2.479300491	35	5.1991102139	0.0008898	FALSE	"P_hobdyi_Kuia"	"P_hobdyi_Kuia"	1	4.42724618754738e-14	3.55628863971787e-14	3.47264516512853e-14
17	17	3	"tip"	34	2.363984189	37	5.1991102132	0.0008898	FALSE	"P_hexandra_K1"	"P_hexandra_K1"	1	1.62655421751479e-13	6.49141251986365e-14	6.48499620560204e-14
18	18	3	"tip"	35	2.363984189	37	5.1991102132	0.0008898	FALSE	"P_hexandra_M"	"P_hexandra_M"	1	1.62655421751479e-13	6.49141251986365e-14	6.48499620560204e-14
19	19	2	"tip"	36	2.826939991	36	5.199021235	0.0009788	FALSE	"P_hexandra_Oahu"	"P_hexandra_Oahu"	7.35386209241809e-13	1	2.63639393714791e-13	2.63349303844352e-13
